Longitude,Latitude,Community,Incorporation_Type,Area_Type,Borough_Census_Area,2021_Population,Subsistence_Use,Essential_Air_Service,Environmentally_Threatened
-149.89484742,61.21627757,Anchorage,Unified Home Rule Borough,Community,Municipality of Anchorage,289697,0,0,0
-131.64802329,55.3424333300001,Ketchikan,Home Rule City,Community,Ketchikan Gateway Borough,8149,0,0,0
-158.10581652,61.8704253700001,Crooked Creek,Unincorporated CDP,Community,Bethel Census Area,88,1,0,1
-154.09956667,59.78824382,Pedro Bay,CDP,Community,Lake and Peninsula Borough,40,1,0,1
-163.19113404,62.0472013200001,Andreafsky,Unincorporated,Place of Interest,Kusilvak Census Area,101,1,0,0
-159.05492998,58.97954187,Manokotak,2nd Class City,Community,Dillingham Census Area,477,1,1,1
-149.08786612,61.54831755,Circle View Stampede,Locality,Place of Interest,Matanuska-Susitna Borough,0,0,0,0
-134.67008238,58.3701947600001,Auke Bay,Locality,Place of Interest,City and Borough of Juneau,5259,0,0,0
-162.08816948,61.8814414300001,Marshall,2nd Class City,Community,Kusilvak Census Area,468,1,0,1
-149.80840696,60.4948727600001,Cooper Landing,CDP,Community,Kenai Peninsula Borough,363,0,0,0
-151.4435797,59.6659190400001,Millers Landing,Locality,Place of Interest,Kenai Peninsula Borough,0,0,0,0
-160.06572812,62.9064389100001,Grayling,2nd Class City,Community,Yukon-Koyukuk Census Area,210,1,0,1
-162.03991035,63.47835158,Saint Michael,2nd Class City,Community,Nome Census Area,450,1,0,1
-152.82914949,58.08155665,Litnik,Locality,Place of Interest,Kodiak Island Borough,0,0,0,0
-151.3334305,60.61773773,Salamatof,CDP,Community,Kenai Peninsula Borough,1060,1,0,0
-149.5351971,61.36992924,Chugiak,Locality,Place of Interest,Municipality of Anchorage,5236,0,0,0
-149.81915873,61.5522787300001,Big Lake,CDP,Community,Matanuska-Susitna Borough,3946,0,0,0
-156.39470172,65.70183545,Huslia,2nd Class City,Community,Yukon-Koyukuk Census Area,301,1,0,1
-135.98980801,59.3937181100001,Covenant Life,CDP,Place of Interest,Haines Borough,73,1,0,0
-133.62121059,56.3513641000001,Point Baker,Unincorporated CDP,Community,Prince of Wales-Hyder Census Area,10,1,0,0
-147.15053014,64.70862307,Moose Creek,CDP,Community,Fairbanks North Star Borough,526,0,0,0
-156.66764668,58.6813712700001,King Salmon,CDP,Community,Bristol Bay Borough,297,1,0,0
-151.20133552,61.9677230600001,Skwentna,CDP,Place of Interest,Matanuska-Susitna Borough,60,1,0,0
-152.13983366,69.37131343,Umiat,Locality,Place of Interest,North Slope Borough,0,0,0,0
-162.98850003,67.5718168000001,Noatak,CDP,Community,Northwest Arctic Borough,533,1,0,1
-132.82826284,56.0140424900001,Coffman Cove,2nd Class City,Community,Prince of Wales-Hyder Census Area,187,1,0,0
-152.39748118,57.7930013600001,Kodiak,Home Rule City,Community,Kodiak Island Borough,5495,0,0,0
-158.09565052,62.54422249,Iditarod,Unincorporated,Place of Interest,Yukon-Koyukuk Census Area,0,0,0,0
-157.85652784,67.0864707800001,Ambler,2nd Class City,Community,Northwest Arctic Borough,255,1,0,1
-139.75003244,59.5587609,Yakutat,Non-Unified Home Rule Borough,Community,City and Borough of Yakutat,697,1,1,1
-162.45740501,60.8972172800001,Nunapitchuk,2nd Class City,Community,Bethel Census Area,567,1,0,1
-166.53768178,53.8730924600001,Unalaska,1st Class City,Community,Aleutians West Census Area,4195,1,0,0
-157.37575053,58.2090702300001,Egegik,2nd Class City,Community,Lake and Peninsula Borough,39,1,1,1
-145.4120642,62.0473811800001,Tazlina,Unincorporated CDP,Community,Copper River Census Area,248,1,0,1
-160.79196516,63.87663037,Unalakleet,2nd Class City,Community,Nome Census Area,734,1,0,1
-147.75923942,64.81107438,South Van Horn,CDP,Place of Interest,Fairbanks North Star Borough,512,1,0,0
-135.44314779,58.41682002,Excursion Inlet,CDP,Place of Interest,Haines Borough,25,1,1,0
-147.35149648,64.7549026500001,North Pole,Home Rule City,Community,Fairbanks North Star Borough,2174,0,0,0
-165.84116537,61.69961533,Paimiut,Unincorporated,Place of Interest,Kusilvak Census Area,0,1,0,0
-145.83455566,64.1472131900001,Big Delta,Unincorporated CDP,Place of Interest,Southeast Fairbanks Census Area,438,0,0,0
-153.2794001,63.38388646,Telida,Unincorporated,Place of Interest,Yukon-Koyukuk Census Area,3,1,0,0
-159.53059767,62.6553703500001,Shageluk,2nd Class City,Community,Yukon-Koyukuk Census Area,100,1,0,1
-163.72627562,62.08954141,Mountain Village,2nd Class City,Community,Kusilvak Census Area,602,1,0,1
-146.35508078,61.13023788,Valdez,Home Rule City,Community,Chugach Census Area,3971,0,0,0
-158.73284409,61.53637174,Napaimute,Unincorporated,Place of Interest,Bethel Census Area,0,1,0,0
-157.4235473,70.48213652,Atqasuk,2nd Class City,Community,North Slope Borough,289,1,0,1
-163.28701943,62.0318125700001,Pitkas Point,Unincorporated CDP,Community,Kusilvak Census Area,124,1,0,1
-146.68172131,60.86848502,Tatitlek,Unincorporated CDP,Community,Chugach Census Area,81,1,1,1
-165.77353925,54.13431811,Akutan,2nd Class City,Community,Aleutians East Borough,1588,1,1,1
-166.38705327,60.1016582,Nunivak Island,Unincorporated,Place of Interest,Bethel Census Area,0,0,0,0
-162.03122768,55.08749807,Belkofski,Locality,Place of Interest,Aleutians East Borough,2,1,0,0
-132.6500231,55.4822323000001,Hollis,Unincorporated CDP,Community,Prince of Wales-Hyder Census Area,138,1,0,0
-133.09603454,55.55450419,Klawock,1st Class City,Community,Prince of Wales-Hyder Census Area,709,1,0,1
-149.54650955,61.3151319900001,Eagle River,Locality,Place of Interest,Municipality of Anchorage,6425,1,0,0
-149.34826008,65.1521483400001,Minto,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,156,1,1,1
-162.59298933,66.8966754200001,Kotzebue,2nd Class City,Community,Northwest Arctic Borough,3004,1,0,1
-150.04359382,62.1312135000001,Susitna North,CDP,Place of Interest,Matanuska-Susitna Borough,1598,1,0,0
-144.05888081,63.65794205,Dot Lake,Unincorporated CDP,Community,Southeast Fairbanks Census Area,16,1,0,0
-142.51969925,63.13803253,Tetlin,Unincorporated CDP,Community,Southeast Fairbanks Census Area,133,1,0,1
-151.25684667,60.3249378400001,Kasilof,CDP,Community,Kenai Peninsula Borough,519,0,0,0
-152.35739943,57.7792462300001,Woody Island,Locality,Place of Interest,Kodiak Island Borough,0,1,0,0
-147.96915819,64.8258662200001,Chena Ridge,CDP,Place of Interest,Fairbanks North Star Borough,6014,1,0,0
-147.03838828,64.8772855300001,Two Rivers,CDP,Community,Fairbanks North Star Borough,667,0,0,0
-144.66418745,62.5663622600001,Chistochina,Unincorporated CDP,Community,Copper River Census Area,59,1,0,1
-158.53776105,56.31042481,Chignik Lagoon,CDP,Community,Lake and Peninsula Borough,72,1,0,1
-162.88313585,61.9372025100001,Pilot Station,2nd Class City,Community,Kusilvak Census Area,609,1,0,1
-174.20019881,52.1978076400001,Atka,2nd Class City,Community,Aleutians West Census Area,59,1,1,1
-149.62083067,61.51685582,Knik-Fairview,CDP,Community,Matanuska-Susitna Borough,19476,1,0,0
-152.64948048,66.56004842,Allakaket,2nd Class City,Community,Yukon-Koyukuk Census Area,167,1,0,1
-162.51946956,60.89457329,Kasigluk,Unincorporated CDP,Community,Bethel Census Area,613,1,0,1
-147.1680556,61.9386111000001,Eureka Roadhouse,CDP,Place of Interest,Matanuska-Susitna Borough,22,1,0,0
-160.03223052,70.63853949,Wainwright,2nd Class City,Community,North Slope Borough,638,1,0,1
-162.2914977,63.52380972,Stebbins,2nd Class City,Community,Nome Census Area,622,1,0,1
-161.81475033,59.00848275,Platinum,2nd Class City,Community,Bethel Census Area,59,1,0,1
-158.54797691,58.8345343,Clark's Point,2nd Class City,Community,Dillingham Census Area,75,1,1,1
-149.19078163,64.34335795,Anderson,2nd Class City,Community,Denali Borough,227,1,0,0
-157.00692435,58.71326678,South Naknek,CDP,Community,Bristol Bay Borough,61,1,1,1
-152.5037,57.7381,Kodiak Station,CDP,Place of Interest,Kodiak Island Borough,1590,0,0,0
-133.9447988,56.9744498800001,Kake,1st Class City,Community,Prince of Wales-Hyder Census Area,557,1,1,1
-147.8028,64.8569000000001,College,CDP,Place of Interest,Fairbanks North Star Borough,11622,1,0,0
-169.54528,56.6014257,Saint George,2nd Class City,Community,Aleutians West Census Area,68,1,0,1
-134.40663973,58.2998397100001,Juneau,Unified Home Rule Borough,Community,City and Borough of Juneau,32155,0,0,0
-151.45404303,59.67334192,Ptarmigan Heights,Locality,Community,Fairbanks North Star Borough,0,0,0,0
-134.58084625,57.4995695000001,Angoon,2nd Class City,Community,Hoonah-Angoon Census Area,360,1,1,1
-149.36954724,60.41930962,Crown Point,CDP,Community,Kenai Peninsula Borough,125,1,0,0
-147.87946723,64.9273104000001,Goldstream,CDP,Community,Fairbanks North Star Borough,3321,1,0,0
-149.49656774,61.40880422,Birchwood,Locality,Place of Interest,Municipality of Anchorage,0,0,0,0
-159.77182893,62.1984422,Holy Cross,2nd Class City,Community,Yukon-Koyukuk Census Area,158,1,0,1
-168.86018348,52.9401089500001,Nikolski,Unincorporated CDP,Community,Aleutians West Census Area,42,1,1,1
-145.53554078,68.12846168,Arctic Village,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,139,1,0,1
-149.72257084,61.4620867300001,Knik,Locality,Place of Interest,Matanuska-Susitna Borough,0,0,0,0
-141.93417861,62.9617709300001,Northway,Unincorporated CDP,Place of Interest,Southeast Fairbanks Census Area,234,1,0,0
-131.53473777,55.2971708800001,Mountain Point,Locality,Place of Interest,Ketchikan Gateway Borough,0,0,0,0
-133.34780625,57.46425365,Hobart Bay,CDP,Place of Interest,Petersburg Borough,1,1,0,0
-151.40223941,60.2264313800001,Clam Gulch,CDP,Community,Kenai Peninsula Borough,202,0,0,0
-150.5990608,61.4142118500001,Alexander Creek,Locality,Place of Interest,Matanuska-Susitna Borough,0,0,0,0
-157.31128856,59.4515508600001,New Stuyahok,2nd Class City,Community,Dillingham Census Area,480,1,1,1
