Longitude,Latitude,Community,IncorporationType,AreaType,Population,Year,Is_Subsistence_Use,Is_Essential_Air_Service,Is_Environmentally_Threatened
-168.9517919,65.7583525100001,Diomede,2nd Class City,Community,94,2015,1,1,1
-135.447947,59.2343054,Haines Borough,Non-Unified Home Rule Borough,Community,2620,2012,1,0,0
-141.9341786,62.9617709300001,Northway,Unincorporated CDP,Place of Interest,66,2015,1,0,0
-157.2856959,59.7264073700001,Koliganek,Unincorporated CDP,Community,231,2015,1,1,1
-165.5905277,61.5286181800001,Chevak,2nd Class City,Community,1030,2016,1,0,1
-131.6373989,55.6028174200001,Loring,CDP,Place of Interest,3,2014,0,0,0
-145.7366682,64.04716726,Delta Junction,2nd Class City,Community,1089,2014,0,0,0
-143.6128541,70.1266124700001,Kaktovik,2nd Class City,Community,262,2015,1,0,1
-162.9885,67.5718168000001,Noatak,CDP,Community,562,2014,1,0,1
-161.3234961,61.78384234,Russian Mission,2nd Class City,Community,334,2015,1,0,1
-162.0294973,60.2189059200001,Eek,2nd Class City,Community,348,2015,1,0,1
-148.9168668,63.7323200700001,Denali Park,CDP,Community,179,2014,0,0,0
-145.7601749,60.54406292,Cordova,Home Rule City,Community,2386,2016,1,1,0
-163.41049,64.68127766,White Mountain,2nd Class City,Community,187,2015,1,0,1
-135.7390616,58.4133428700001,Gustavus,2nd Class City,Community,516,2014,1,1,0
-161.0468258,66.83334504,Noorvik,2nd Class City,Community,638,2015,1,0,1
-147.7260063,61.79346959,Glacier View,CDP,Community,247,2015,1,0,0
-148.8953863,63.39242527,Cantwell,CDP,Community,182,2015,1,0,1
-151.4022394,60.2264313800001,Clam Gulch,CDP,Community,183,2015,0,0,0
-161.7717709,60.7911992000001,Bethel,2nd Class City,Community,6241,2014,0,0,1
-158.4141558,56.3012632000001,Chignik,2nd Class City,Community,96,2014,1,1,1
-153.9814353,57.5370683300001,Larsen Bay,2nd Class City,Community,71,2014,1,0,0
-174.2001988,52.1978076400001,Atka,2nd Class City,Community,68,2015,1,1,1
-150.7970364,60.5370290800001,Sterling,CDP,Community,5869,2015,0,0,0
-151.649954,59.4743452800001,Seldovia Village,CDP,Community,150,2014,1,0,0
-151.919921,59.3544344900001,Nanwalek,CDP,Community,275,2015,1,0,1
-158.724932,64.3265639300001,Kaltag,2nd Class City,Community,178,2015,1,0,1
-145.2412838,66.5661669,Fort Yukon,2nd Class City,Community,558,2016,1,0,1
-143.3559974,63.3762792000001,Tanacross,Unincorporated CDP,Community,110,2016,1,0,1
-144.947406,61.7374181000001,Kenny Lake,Unincorporated CDP,Community,302,2016,1,0,0
-149.1179,64.6003000000001,Four Mile Road,Unincorporated CDP,Community,36,2016,1,0,0
-150.6371652,64.9958868300001,Manley Hot Springs,Unincorporated CDP,Community,117,2015,1,0,1
-160.3787911,59.0605115000001,Togiak,2nd Class City,Community,893,2016,1,0,1
-157.3112886,59.4515508600001,New Stuyahok,2nd Class City,Community,497,2016,1,1,1
-132.8235136,55.2059259000001,Hydaburg,1st Class City,Community,404,2016,1,1,1
-149.8014267,61.6312394,Houston,2nd Class City,Community,1965,2014,0,0,0
-158.7630842,56.25373123,Chignik Lake,CDP,Community,64,2016,1,1,1
-141.2075972,64.7889396800001,Eagle,2nd Class City,Community,81,2014,1,0,1
-161.7717709,60.7911992000001,Bethel,2nd Class City,Community,6244,2016,0,0,1
-154.1732455,56.9468146400001,Akhiok,2nd Class City,Community,97,2016,1,1,1
-160.1993288,62.65252995,Anvik,2nd Class City,Community,77,2016,1,0,1
-151.2568467,60.3249378400001,Kasilof,CDP,Community,574,2015,0,0,0
-149.8948474,61.21627757,Anchorage,Unified Home Rule Borough,Community,298908,2015,0,0,0
-132.8282628,56.0140424900001,Coffman Cove,2nd Class City,Community,204,2016,1,0,0
-162.8870639,59.9594387400001,Kongiganak,Unincorporated CDP,Community,520,2016,1,0,1
-149.0354355,61.54162777,Butte,CDP,Community,3409,2014,0,0,0
-148.4788125,61.79624012,Chickaloon,CDP,Community,232,2015,0,0,0
-141.9517,62.9822,Northway Village,Unincorporated CDP,Community,112,2015,1,0,1
-151.8317244,59.3515619300001,Port Graham,CDP,Community,151,2014,1,0,1
-161.1290202,65.9776538400001,Buckland,2nd Class City,Community,463,2015,1,0,1
-161.2018498,56.0012060400001,Nelson Lagoon,CDP,Community,44,2015,1,0,1
-145.4120642,62.0473811800001,Tazlina,Unincorporated CDP,Community,260,2016,1,0,1
-162.2645069,64.61655211,Elim,2nd Class City,Community,340,2015,1,0,1
-152.5039855,57.9232638,Ouzinkie,2nd Class City,Community,159,2016,1,0,1
-160.4980901,55.34090243,Sand Point,1st Class City,Community,951,2015,1,0,1
-157.1381905,66.8880443,Shungnak,2nd Class City,Community,299,2016,1,0,1
-131.6673271,55.3491724900001,Ketchikan Gateway Borough,2nd Class Borough,Community,13758,2016,1,0,0
-150.1075,67.4100000000001,Wiseman,Unincorporated CDP,Place of Interest,16,2015,1,0,0
-135.8958758,59.40043417,Klukwan,Unincorporated CDP,Community,95,2016,1,0,1
-160.4980901,55.34090243,Sand Point,1st Class City,Community,943,2016,1,0,1
